id,attributeName,attributeDefinition,storageType,missingValueCode,missingValueCodeExplanation,measurementScale,domain,formatString,definition,unit,numberType,propertyLabel,propertyURI,valueLabel,valueURI,metadata_pid
site-44,site,location of sampling,string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
date-45,date,"date of sampling, YYYY-MM-DD format",date,NA,data unavailable,dateTime,dateTimeDomain,YYYY-MM-DD,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
timeEST-46,timeEST,24 hour Eastern standard Time,date,NA,data unavailable,dateTime,dateTimeDomain,hh:mm,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
barcode-47,barcode,barcode inventory number for sample stored in Hubbard Brook physical sample archive,string,NA,No 1:1 match with this record and physical sample at this time,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
pH-48,pH,a measure of hydrogen ion concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,dimensionless,real,has unit,http://qudt.org/schema/qudt/hasUnit,Unitless,http://qudt.org/vocab/unit/UNITLESS,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
DIC-49,DIC,Dissolved inorganic carbon concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,micromolePerLiter,whole,has unit,http://qudt.org/schema/qudt/hasUnit,Micromoles per litre,http://qudt.org/vocab/unit/MicroMOL-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
spCond-50,spCond,"a measure of specific conductivity, or the concentration of dissolved ions",float,NA,data unavailable,ratio,numericDomain,NA,NA,microsiemensPerCentimeter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Microsiemens Per Centimeter,http://qudt.org/vocab/unit/MicroS-PER-CentiM,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
temp-51,temp,water temperature at sampling time,float,NA,data unavailable,ratio,numericDomain,NA,NA,celsius,real,has unit,http://qudt.org/schema/qudt/hasUnit,Degree Celsius,http://qudt.org/vocab/unit/DEG_C,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
ANC960-52,ANC960,"acid neutralizing capacity measured on the Orion titration system, phased out after August 2017",float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
ANCMet-53,ANCMet,acid neutralizing capacity measured on the Metrohm titration system,float,NA,data unavailable,ratio,numericDomain,NA,NA,microEquivalentPerLiter,real,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
gageHt-54,gageHt,"measurement of gage height, or elevation of water surface in weir basin",float,NA,data unavailable,ratio,numericDomain,NA,NA,foot,real,has unit,http://qudt.org/schema/qudt/hasUnit,Foot,http://qudt.org/vocab/unit/FT,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
hydroGraph-55,hydroGraph,describes the gradient of hydrograph limb at the time of sampling (ex. rising/falling/level),string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
flowGageHt-56,flowGageHt,streamflow rate measured as volume per unit time and is proportional to watershed area,float,NA,data unavailable,ratio,numericDomain,NA,NA,literPerSecond,real,has unit,http://qudt.org/schema/qudt/hasUnit,Liter Per Second,http://qudt.org/vocab/unit/L-PER-SEC,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
fieldCode-57,fieldCode,"A code to describe field conditions during sample collection, or condition of the sample",string,NA,data unavailable,nominal,enumeratedDomain,NA,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
notes-58,notes,miscellaneous notes about data quality/sources. Notes that mention precipitation (e.g. ~1.83\ precip) refer to measurements in inches.,string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
uniqueID-59,uniqueID,"unique identifier combining sampling site, date (YYYYMMDD), and time (hh:ss, military) information",string,NA,data unavailable,nominal,textDomain,NA,text,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
waterYr-60,waterYr,Water Year June 1 thru to May 31,date,NA,data unavailable,dateTime,dateTimeDomain,YYYY,NA,NA,NA,NA,NA,NA,NA,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Ca-61,Ca,calcium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Mg-62,Mg,magnesium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
K-63,K,potassium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Na-64,Na,sodium concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
TMAl-65,TMAl,total monomeric aluminum concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
OMAl-66,OMAl,organic monomeric aluminum concentration,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
AlICP-67,Al_ICP,aluminum concentration measured on ICP,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Alferron-68,Al_ferron,"aluminum concentration ferron measurement method (1964-1970, and 1976-2006)",float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
NH4-69,NH4,ammonium concentration as NH4,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
SO4-70,SO4,sulfate concentration as SO4,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
NO3-71,NO3,nitrate concentration as NO3,float,NA,data unavailable,ratio,numericDomain,NA,NA,milligramPerLiter,real,has unit,http://qudt.org/schema/qudt/hasUnit,Milligram Per Liter,http://qudt.org/vocab/unit/MilliGM-PER-L,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
