name,value
File_Name,HubbardBrook_weekly_stream_chemistry_1963-2025
Date_Downloaded,2026-01-28 21:39:31
Data_ID,https://pasta.lternet.edu/package/data/eml/knb-lter-hbr/208/14/024b6acc5cb2e03a14fff5558bbffc0c
Data_URL,https://gmn.lternet.edu/mn/v2/object/https:%2F%2Fpasta.lternet.edu%2Fpackage%2Fdata%2Feml%2Fknb-lter-hbr%2F208%2F14%2F024b6acc5cb2e03a14fff5558bbffc0c
Metadata_ID,https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Metadata_URL,https://gmn.lternet.edu/mn/v2/object/https:%2F%2Fpasta.lternet.edu%2Fpackage%2Fmetadata%2Feml%2Fknb-lter-hbr%2F208%2F14
Metadata_EML_Version,2.2.0
File_Description,Hubbard Brook weekly stream chemistry 1963-2025
Dataset_URL,https://search.dataone.org/#view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-hbr/208/14
Dataset_Title,"Continuous precipitation and stream chemistry data, Hubbard Brook Ecosystem Study, 1963 – ongoing.; The long term record of precipitation and stream chemistry at the Hubbard Brook Experimental Forest; LTREB: Streams to Screens: Bringing the Hubbard Brook Watershed Ecosystem Record (HB-WatER) into the 21st Century (2019-07-01 to 2024-06-30); LTREB Renewal at Hubbard Brook: Hydrologic-nutrient cycle interaction in small, undisturbed and human-manipulated ecosystems (2013-03-01 to 2020-02-29); Collaborative Research: Hydrologic-Nutrient Cycle Interaction in Small Undisturbed and Manmanipulated Ecosystems; Start Date:11/01/1984; Organization:New York Botanical Garden; Collaborative Research on Hydrologic-Nutrient Cycle Interaction in Small Undisturbed and Manipulated Ecosystems; Start Date:09/01/1983; Organization:New York Botanical Garden; Hydrologic-Nutrient Cycle Interaction in Undisturbed and Man-Manipulated Watersheds, Part I; Start Date:09/01/1974; Organization:Cornell University; Collaborative Research on the Hydrologic-Nutrient Cycle Interaction in Small Undisturbed and Man-Manipulated Ecosystems; Start Date:09/01/1978; Organization:Cornell University; LTREB: Hydrologic-Nutrient Cycle Interaction in Small Undisturbed and Human-Manipulated Ecosystems; Start Date:09/01/2003; Continuation LTREB at Hubbard Brook: Hydrologic-nutrient cycle interaction in small undisturbed and human-manipulated ecosystems; Start Date:09/01/2008; LTREB: Collaborative Research: Hydrologic-nutrient Cycle Interaction in Small, Undisturbed and Human-manipulated Ecosystems; Start Date:10/01/1993; LTREB: Collaborative Research: Hydrologic-Nutrient Cycle Interactions in Small, Undisturbed and Human-Manipulated Ecosystems; Start Date:10/01/1998; Long-Term Ecological Research at Hubbard Brook Experimental Forest (1988); Long-term Ecological Research (LTER) at the Hubbard Brook Experimental Forest (1992); LTER: Hubbard Brook Experimental Forest (1998); Long-Term Ecological Research (LTER) at Hubbard Brook Experimental Forest (HBR-LTER) (2005); Long-Term Ecological Research at Hubbard Brook Experimental Forest (2010); LTER: Long Term Ecological Research at the Hubbard Brook Experimental Forest (2016); LTER: Long-Term Ecological Research at the Hubbard Brook Experimental Forest (2016b); LTER: Long Term Ecological Research at the Hubbard Brook Experimental Forest (2022); Funding from Mary Flagler Cary Charitable Trust; Funding from The Andrew W. Mellon Foundation"
Dataset_StartDate,1963-06-01
Dataset_EndDate,2025-05-27
Dataset_Location,Hubbard Brook Experimental Forest
Dataset_WestBoundingCoordinate,-71.8062
Dataset_EastBoundingCoordinate,-71.7022
Dataset_NorthBoundingCoordinate,43.959
Dataset_SouthBoundingCoordinate,43.914
